"name
(ranked by # of front page stories)",Outlet,usable (as individual),tiktok handle,url,followers,notes,"journalist as creator info (if they produce videos under an outlet's masthead, list the outlet's handle)",X handle (for reference)
Nick Corasaniti,New York Times,,,,,,,@NYTnickc
Denis Campbell,The Guardian,,,,,,,@denis_campbell
Krystal Hur,Wall Street Journal,,,,,,,@kryshur
Amy B Wang,Washington Post +1,,,,,,,@amybwang
Andrea Riquier,Arizona Republic,,,,,,,@ARiquier
Sam Kiley,The Independent,,,,,,,@samkileynews
Julian Mark,Washington Post +1,,,,,,,@juleswapo
Peter Baker,New York Times,,,,,,,@peterbakernyt
Alison Sider,Wall Street Journal,,,,,,,@alyrose
Alexandra Topping,The Guardian,,,,,,,@LexyTopping
Nilesh Christopher,Los Angeles Times,,,,,,,@NilChristopher
Verity Ratcliffe,Financial Times,,,,,,,@v_ratcliffe
Annie Karni,New York Times +1,,,,,,,@anniekarni
Bayliss Wagner,Houston Chronicle,,,,,,,@baylisswagner
Brandon Loomis,Arizona Republic,,,,,,,@brandonloomis
Robert Mendick,Daily Telegraph +1,,,,,,,@rmendick
Tony Romm,New York Times +2,,,,,,,@TonyRomm
Genevieve Holl-Allen,Daily Telegraph +1,,,,,,,@genevieve_holl
Will Bolton,Daily Telegraph,,,,,,,@WillBoltons
Jonathan Edwards,Washington Post,,,,,,,@jonathanreports
Itzel Luna,Los Angeles Times,,,,,,,@Itzel03Luna
Eric Dexheimer,Houston Chronicle,,,,,,,@Dexinvestigates
Ann E. Marimow,New York Times +3,,,,,,,@amarimow
Miriam Jordan,New York Times +1,,,,,,,@mirjordan
Andrew Duehren,New York Times +1,,,,,,,@aduehren
Sabrina Miller,Sunday Telegraph,,,,,,,@SabriSun_Miller
Lily Kepner,Houston Chronicle,,,,,,,@lilykepner
Dug Begley,Houston Chronicle,,,,,,,@dugbegley
Riley Beggin,Washington Post,,,,,,,@rbeggin
Dov Lieber,Wall Street Journal,,,,,,,@DovLieber
Billy Baker,Boston Globe,,,,,,,@billy_baker
Harriet Torry,Wall Street Journal,,,,,,,@HarrietTorry
